2025-12-30 13:29:15,022 | CREATED | sensitive\newfolder
2025-12-30 13:29:15,022 | WARNING | ALERT: Sensitive file CREATED -> .\sensitive\newfolder
2025-12-30 13:29:16,032 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive
2025-12-30 13:29:45,595 | CREATED | sensitive\newfile
le CREATED -> .\sensitive\newfile
2025-12-30 13:29:46,258 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive
2025-12-30 13:30:06,445 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive
2025-12-30 13:30:16,003 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive\newfolder
2025-12-30 13:30:16,003 | MODIFIED | sensitive\newfolder
2025-12-30 13:30:16,004 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive\newfolder
2025-12-30 13:30:16,004 | MODIFIED | sensitive\newfolder
2025-12-30 13:30:16,011 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive\newfolder
2025-12-30 13:30:16,012 | MODIFIED | sensitive\newfolder
2025-12-30 13:30:17,608 | MODIFIED | sensitive\newfolder
2025-12-30 13:30:17,609 | WARNING | ALERT: Sensitive file MODIFIED -> .\sensitive\newfolder
2025-12-30 13:30:38,614 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:38,676 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:38,702 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:38,726 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:38,872 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:38,890 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,048 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,069 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,208 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,226 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,371 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,389 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,530 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,548 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,693 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,711 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,855 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:39,872 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,020 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,039 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,178 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,197 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,343 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,362 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,509 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,525 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,676 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,692 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,833 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,849 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:40,994 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,012 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,162 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,180 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,327 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,345 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,499 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,516 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,661 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,679 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,826 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,843 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:41,993 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,010 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,161 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,178 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,327 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,344 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,515 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,537 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,689 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,705 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,854 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:42,873 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,023 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,043 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,180 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,197 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,338 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,355 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,508 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,525 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,669 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,690 | INFO | MODIFIED -> .\logs\activity.log
2025-12-30 13:30:43,836 | INFO | MODIFIED -> .\logs\activity.log
